sex,race,age,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,priors_count,c_charge_degree,start,end,event,juv_fel_count,juv_misd_count,juv_other_count,juv_priors_count
male,caucasian,55,greater than 45,1,1,0,0,low,2013-12-30,0,0,felony,1,823,0,0,0,0,0
male,other,49,greater than 45,3,2,1,0,low,2013-04-04,1,7,felony,3,502,0,0,0,0,0
male,caucasian,26,25 - 45,8,8,0,0,high,2013-04-09,0,6,misdemeanor,0,81,0,0,0,2,2
female,caucasian,33,25 - 45,5,2,1,0,medium,2013-12-03,1,4,misdemeanor,10,223,1,0,0,0,0
male,caucasian,24,less than 25,2,3,1,0,low,2013-09-15,1,1,misdemeanor,1,240,1,0,0,0,0
male,african-american,34,25 - 45,9,6,1,0,high,2013-01-11,1,21,felony,33,514,1,2,1,3,6
male,caucasian,29,25 - 45,2,2,0,0,low,2013-01-16,0,0,misdemeanor,0,1171,0,0,0,0,0
female,african-american,21,less than 25,8,8,0,0,high,2013-08-24,0,2,felony,79,524,0,0,0,0,0
male,african-american,51,greater than 45,1,1,0,0,low,2013-02-28,0,2,misdemeanor,0,1128,0,0,0,0,0
female,african-american,51,greater than 45,2,2,0,0,low,2013-02-14,0,7,felony,1,529,0,0,0,0,0
male,african-american,29,25 - 45,7,2,1,0,medium,2014-03-03,1,0,felony,0,61,1,0,0,0,0
male,caucasian,25,25 - 45,10,9,1,1,high,2014-03-28,1,9,misdemeanor,6,8,1,0,0,0,0
male,caucasian,49,greater than 45,1,1,0,0,low,2013-08-02,0,0,misdemeanor,0,973,0,0,0,0,0
male,african-american,29,25 - 45,4,3,0,0,low,2013-04-24,0,0,felony,0,1073,0,0,0,0,0
male,caucasian,29,25 - 45,2,2,1,0,low,2013-06-03,1,1,felony,0,441,0,0,0,0,0
female,other,28,25 - 45,2,2,0,0,low,2013-11-18,0,0,felony,0,865,0,0,0,0,0
male,caucasian,48,greater than 45,6,4,1,0,medium,2013-05-02,1,20,felony,0,275,1,0,0,0,0
female,hispanic,63,greater than 45,1,1,0,0,low,2014-01-22,0,1,felony,0,800,0,0,0,0,0
male,african-american,31,25 - 45,5,7,1,0,medium,2013-03-18,0,15,felony,135,1077,1,0,0,1,1
male,african-american,24,less than 25,4,4,1,0,low,2013-09-18,1,2,felony,1,575,1,0,0,0,0
male,hispanic,30,25 - 45,7,3,0,0,medium,2013-01-20,0,0,misdemeanor,23,1167,0,0,0,0,0
male,african-american,49,greater than 45,1,1,0,0,low,2013-08-27,0,4,misdemeanor,0,948,0,0,0,0,0
male,caucasian,53,greater than 45,5,2,0,0,medium,2013-05-28,0,8,felony,0,1039,0,0,0,0,0
male,african-american,35,25 - 45,3,2,0,0,low,2013-02-11,0,5,felony,0,1145,0,0,0,0,0
male,african-american,63,greater than 45,7,5,1,0,medium,2013-06-10,1,10,misdemeanor,0,44,1,0,0,0,0
male,caucasian,38,25 - 45,2,2,1,0,low,2013-02-04,1,4,misdemeanor,1,272,1,0,0,0,0
male,african-american,22,less than 25,4,6,1,0,low,2013-11-16,1,1,felony,0,371,1,0,0,1,1
male,african-american,22,less than 25,10,9,1,0,high,2013-03-14,1,2,felony,0,70,0,0,1,2,3
male,african-american,29,25 - 45,9,5,1,0,high,2013-01-26,1,4,felony,18,69,0,0,0,0,0
male,hispanic,62,greater than 45,1,1,0,0,low,2013-01-08,0,0,misdemeanor,0,1179,0,0,0,0,0
male,other,33,25 - 45,1,1,0,0,low,2014-03-09,0,0,misdemeanor,0,754,0,0,0,0,0
female,african-american,56,greater than 45,1,1,0,0,low,2013-09-28,0,0,misdemeanor,3,916,0,0,0,0,0
male,hispanic,45,greater than 45,1,1,1,1,low,2013-01-13,1,6,felony,241,323,1,0,0,0,0
male,hispanic,22,less than 25,4,6,0,0,low,2013-05-25,0,1,felony,0,1042,0,0,0,0,0
male,african-american,39,25 - 45,4,2,0,0,low,2013-03-07,0,1,misdemeanor,4,1121,0,0,0,0,0
male,african-american,29,25 - 45,6,3,1,0,medium,2013-01-07,1,5,felony,1,253,1,0,0,0,0
male,african-american,40,25 - 45,2,1,0,0,low,2013-07-17,0,2,felony,0,989,0,0,0,0,0
male,african-american,22,less than 25,3,3,1,0,low,2013-08-25,1,1,misdemeanor,17,256,0,0,0,0,0
male,caucasian,22,less than 25,8,6,0,0,high,2013-02-19,0,0,felony,57,73,0,0,0,0,0
female,african-american,26,25 - 45,4,3,1,1,low,2013-11-08,1,1,felony,1,11,1,0,0,0,0
male,african-american,32,25 - 45,2,1,0,0,low,2013-03-04,0,0,felony,0,1124,0,0,0,0,0
male,african-american,41,25 - 45,2,2,0,0,low,2013-02-28,0,1,misdemeanor,1,1128,0,0,0,0,0
male,african-american,30,25 - 45,10,9,1,1,high,2013-02-21,1,8,misdemeanor,0,55,1,0,0,0,0
male,african-american,25,25 - 45,10,10,1,1,high,2013-04-20,1,14,felony,6,100,1,1,6,1,8
male,other,20,less than 25,5,8,1,1,medium,2013-10-03,1,0,felony,0,119,1,0,0,0,0
male,african-american,22,less than 25,9,10,1,0,high,2014-01-16,1,2,felony,30,175,1,1,0,0,1
male,african-american,23,less than 25,7,8,1,0,medium,2014-03-17,1,2,misdemeanor,0,137,0,0,0,1,1
female,african-american,35,25 - 45,2,1,0,0,low,2013-03-30,0,1,misdemeanor,0,1098,0,0,0,0,0
male,caucasian,26,25 - 45,8,4,1,0,high,2013-01-12,1,7,felony,0,377,1,0,0,0,0
male,other,21,less than 25,6,6,1,0,medium,2013-04-20,1,1,felony,4,253,1,0,0,0,0
male,african-american,71,greater than 45,7,3,0,0,medium,2013-01-04,0,12,misdemeanor,0,1183,0,0,0,0,0
female,caucasian,20,less than 25,7,8,0,0,medium,2013-11-14,0,0,felony,0,869,0,0,0,0,0
male,caucasian,39,25 - 45,1,1,1,0,low,2013-02-13,1,2,felony,0,63,1,0,0,0,0
male,caucasian,66,greater than 45,1,1,0,0,low,2013-11-06,0,3,felony,0,877,0,0,0,0,0
female,caucasian,54,greater than 45,1,1,0,0,low,2013-04-15,0,0,misdemeanor,0,1082,0,0,0,0,0
female,hispanic,44,25 - 45,1,1,0,0,low,2013-08-20,0,0,misdemeanor,0,955,0,0,0,0,0
male,african-american,24,less than 25,2,3,0,0,low,2014-02-28,0,1,felony,0,503,0,0,0,0,0
male,african-american,30,25 - 45,2,2,0,0,low,2013-09-09,0,1,felony,0,935,0,0,0,0,0
female,caucasian,39,25 - 45,1,1,1,1,low,2013-09-05,1,0,felony,1,52,1,0,0,0,0
male,caucasian,24,less than 25,6,6,1,0,medium,2013-04-11,1,8,felony,11,27,1,0,1,2,3
male,caucasian,30,25 - 45,4,2,0,0,low,2013-08-29,0,0,felony,5,497,0,0,0,0,0
male,caucasian,31,25 - 45,5,2,0,0,medium,2014-02-21,0,0,misdemeanor,38,770,0,0,0,0,0
female,caucasian,39,25 - 45,4,3,0,0,low,2013-02-26,0,1,felony,106,392,0,0,0,0,0
male,caucasian,43,25 - 45,1,1,0,0,low,2013-08-15,0,1,felony,0,960,0,0,0,0,0
male,african-american,21,less than 25,9,6,1,0,high,2013-03-02,1,3,felony,5,24,1,0,0,0,0
male,caucasian,38,25 - 45,4,3,1,0,low,2013-01-16,1,5,misdemeanor,2,55,1,0,0,0,0
male,caucasian,34,25 - 45,5,5,0,0,medium,2013-02-15,0,0,felony,15,441,0,0,0,0,0
male,african-american,33,25 - 45,5,2,1,0,medium,2013-11-17,1,5,felony,0,345,1,0,0,0,0
male,african-american,37,25 - 45,2,1,0,0,low,2013-11-18,0,3,felony,1,102,0,0,0,0,0
male,caucasian,42,25 - 45,2,2,1,0,low,2013-03-16,1,1,felony,1,2,1,0,0,0,0
male,african-american,41,25 - 45,9,7,1,0,high,2013-09-06,1,10,felony,176,285,1,0,1,0,1
male,african-american,22,less than 25,4,7,1,0,low,2013-11-13,1,0,felony,0,394,1,0,0,0,0
male,african-american,33,25 - 45,8,5,1,0,high,2014-01-11,1,28,felony,1,83,1,0,12,2,14
male,african-american,31,25 - 45,7,8,0,0,medium,2013-10-14,0,1,misdemeanor,0,900,0,0,0,0,0
female,other,30,25 - 45,2,2,0,0,low,2013-10-29,0,1,felony,0,97,0,0,0,0,0
male,caucasian,31,25 - 45,10,7,1,1,high,2013-02-26,1,13,felony,0,55,1,0,0,0,0
male,african-american,56,greater than 45,9,3,0,0,high,2013-12-06,0,8,felony,0,67,0,0,0,0,0
male,caucasian,52,greater than 45,9,6,0,0,high,2013-07-29,0,3,misdemeanor,0,977,0,0,0,0,0
male,african-american,33,25 - 45,10,7,1,0,high,2013-12-29,1,19,felony,0,222,0,0,0,0,0
female,caucasian,64,greater than 45,1,1,0,0,low,2014-03-31,0,2,misdemeanor,0,732,0,0,0,0,0
male,caucasian,42,25 - 45,3,1,0,0,low,2013-09-17,0,6,felony,0,408,0,0,0,0,0
female,caucasian,25,25 - 45,4,5,0,0,low,2013-12-23,0,2,felony,2,359,0,0,0,0,0
male,caucasian,30,25 - 45,2,2,0,0,low,2013-11-19,0,1,misdemeanor,0,864,0,0,0,0,0
male,caucasian,28,25 - 45,1,2,0,0,low,2013-08-29,0,2,felony,0,946,0,0,0,0,0
female,other,37,25 - 45,2,1,0,0,low,2013-12-30,0,2,misdemeanor,1,823,0,0,0,0,0
female,african-american,24,less than 25,2,3,0,0,low,2014-02-07,0,0,misdemeanor,1,784,0,0,0,0,0
male,caucasian,44,25 - 45,2,1,1,0,low,2014-01-27,1,2,misdemeanor,0,216,1,0,0,0,0
male,african-american,32,25 - 45,7,3,1,0,medium,2013-01-02,1,3,felony,7,413,0,0,0,0,0
male,caucasian,31,25 - 45,3,3,1,0,low,2013-09-05,1,2,misdemeanor,0,48,1,0,0,0,0
male,african-american,31,25 - 45,2,3,1,0,low,2013-01-17,0,1,misdemeanor,0,1140,1,0,0,0,0
male,caucasian,59,greater than 45,2,1,1,0,low,2013-04-02,1,1,felony,0,164,1,0,0,0,0
female,caucasian,45,greater than 45,4,3,0,0,low,2013-04-24,0,4,felony,0,1073,0,0,0,0,0
female,african-american,20,less than 25,10,10,0,0,high,2013-11-20,0,1,felony,3,119,0,1,0,0,1
female,caucasian,43,25 - 45,1,1,0,0,low,2013-05-14,0,0,misdemeanor,1,1053,0,0,0,0,0
male,african-american,33,25 - 45,5,2,1,1,medium,2013-12-26,1,8,misdemeanor,0,187,1,0,0,0,0
female,african-american,33,25 - 45,9,9,1,0,high,2013-01-11,1,7,felony,25,275,1,0,0,0,0
male,african-american,27,25 - 45,9,8,1,0,high,2013-04-16,1,2,felony,0,18,0,0,0,0,0
female,african-american,20,less than 25,6,8,0,0,medium,2013-12-07,0,0,felony,0,846,0,0,0,0,0
female,caucasian,26,25 - 45,6,3,0,0,medium,2014-01-27,0,0,misdemeanor,0,795,0,0,0,0,0
female,african-american,61,greater than 45,1,1,1,0,low,2013-04-27,1,1,felony,0,544,1,0,0,0,0
male,other,52,greater than 45,7,6,1,0,medium,2013-05-15,1,13,felony,1,36,0,0,0,0,0
male,hispanic,63,greater than 45,1,1,0,0,low,2014-02-05,0,1,felony,0,786,0,0,0,0,0
male,hispanic,29,25 - 45,4,4,0,0,low,2013-09-06,0,1,felony,0,938,0,0,0,0,0
female,other,46,greater than 45,2,1,0,0,low,2013-01-10,0,1,felony,0,1177,0,0,0,0,0
female,african-american,26,25 - 45,4,4,1,0,low,2013-03-10,1,2,misdemeanor,0,229,1,0,0,0,0
male,african-american,55,greater than 45,1,1,0,0,low,2013-06-27,0,3,misdemeanor,0,1009,0,0,0,0,0
male,caucasian,39,25 - 45,4,4,0,0,low,2014-02-11,0,1,misdemeanor,3,780,0,1,0,0,1
female,caucasian,30,25 - 45,7,4,1,0,medium,2013-05-02,1,3,felony,0,14,1,0,0,0,0
male,african-american,30,25 - 45,7,8,0,0,medium,2013-03-02,0,1,felony,70,367,0,0,0,0,0
male,caucasian,48,greater than 45,2,1,0,0,low,2013-09-26,0,2,misdemeanor,0,918,0,0,0,0,0
male,african-american,22,less than 25,2,4,0,0,low,2013-05-16,0,1,felony,0,547,0,0,0,0,0
male,caucasian,46,greater than 45,1,1,1,0,low,2013-02-11,1,6,felony,0,22,1,0,0,0,0
female,caucasian,49,greater than 45,6,2,0,0,medium,2014-03-19,0,6,felony,0,744,0,0,0,0,0
male,caucasian,31,25 - 45,5,4,0,0,medium,2013-04-20,0,0,felony,2,719,0,0,0,0,0
male,african-american,25,25 - 45,2,3,1,0,low,2013-09-17,1,1,misdemeanor,1,31,1,0,0,0,0
male,hispanic,23,less than 25,3,5,0,0,low,2013-09-09,0,0,felony,0,935,0,0,0,0,0
female,african-american,32,25 - 45,7,3,0,0,medium,2013-02-18,0,5,felony,0,1138,0,0,0,0,0
male,hispanic,52,greater than 45,1,1,0,0,low,2013-03-05,0,2,misdemeanor,2,108,0,0,0,0,0
male,african-american,62,greater than 45,4,1,0,0,low,2013-02-05,0,8,felony,16,1151,0,0,0,0,0
female,caucasian,37,25 - 45,10,4,0,0,high,2013-04-22,0,6,felony,0,417,0,0,0,0,0
male,caucasian,55,greater than 45,1,1,0,0,low,2013-09-10,0,1,felony,0,934,0,0,0,0,0
male,hispanic,31,25 - 45,9,7,1,0,high,2013-07-25,1,8,felony,0,29,0,0,0,0,0
male,african-american,28,25 - 45,6,6,1,1,medium,2013-03-18,1,6,misdemeanor,0,482,1,0,0,0,0
male,hispanic,54,greater than 45,1,1,0,0,low,2013-08-29,0,2,felony,187,946,0,0,0,0,0
male,hispanic,58,greater than 45,2,1,0,0,low,2013-03-14,0,0,felony,0,302,0,0,0,0,0
male,caucasian,56,greater than 45,1,1,0,0,low,2014-03-03,0,0,felony,0,760,0,0,0,0,0
male,other,24,less than 25,2,4,0,0,low,2014-01-14,0,0,felony,1,808,0,0,0,0,0
male,african-american,47,greater than 45,8,1,1,0,high,2013-02-03,1,23,misdemeanor,0,9,1,0,0,0,0
male,african-american,23,less than 25,2,4,1,0,low,2014-01-06,1,0,misdemeanor,0,176,1,0,0,0,0
male,hispanic,57,greater than 45,1,1,0,0,low,2013-10-25,0,1,felony,20,889,0,0,0,0,0
female,caucasian,38,25 - 45,5,2,1,0,medium,2013-07-10,1,2,felony,0,155,1,0,0,0,0
male,african-american,66,greater than 45,1,1,1,1,low,2013-06-11,0,3,felony,0,943,1,0,0,0,0
male,caucasian,45,greater than 45,4,3,1,0,low,2014-02-17,1,8,misdemeanor,71,584,0,0,0,0,0
female,other,52,greater than 45,3,1,1,0,low,2013-07-22,1,0,misdemeanor,0,449,1,0,0,0,0
male,african-american,32,25 - 45,10,7,1,0,high,2013-08-28,1,13,felony,0,289,1,0,0,0,0
male,african-american,37,25 - 45,9,8,1,1,high,2013-12-24,1,2,misdemeanor,0,104,1,0,0,0,0
male,caucasian,39,25 - 45,4,4,1,0,low,2014-03-02,1,0,felony,1,389,1,0,0,0,0
male,caucasian,45,greater than 45,3,4,0,0,low,2013-02-01,0,2,felony,358,1155,0,0,0,0,0
male,african-american,34,25 - 45,2,1,1,0,low,2014-01-31,0,2,misdemeanor,26,758,1,0,0,0,0
female,african-american,23,less than 25,4,4,0,0,low,2013-08-21,0,1,misdemeanor,0,954,0,0,0,0,0
male,other,36,25 - 45,3,1,1,0,low,2014-01-28,1,2,misdemeanor,2,598,1,0,0,0,0
male,caucasian,50,greater than 45,1,1,0,0,low,2013-09-16,0,1,felony,0,879,0,0,0,0,0
female,caucasian,37,25 - 45,3,1,0,0,low,2013-11-08,0,0,misdemeanor,0,875,0,0,0,0,0
male,caucasian,44,25 - 45,4,4,0,0,low,2013-01-06,0,4,misdemeanor,1,1181,0,0,0,0,0
male,african-american,26,25 - 45,10,8,1,0,high,2013-04-18,1,2,felony,0,379,1,0,0,0,0
male,african-american,27,25 - 45,2,3,0,0,low,2013-03-26,0,0,misdemeanor,2,1102,0,0,0,0,0
female,african-american,28,25 - 45,8,6,0,0,high,2013-10-29,0,0,felony,29,885,0,0,0,0,0
male,caucasian,43,25 - 45,5,3,1,1,medium,2013-03-26,1,11,felony,0,48,1,0,0,0,0
female,caucasian,28,25 - 45,9,6,1,0,high,2013-10-10,1,7,felony,0,216,1,0,0,0,0
male,african-american,38,25 - 45,1,1,0,0,low,2013-03-20,0,2,felony,0,61,0,0,0,0,0
male,caucasian,27,25 - 45,4,3,0,0,low,2014-02-26,0,2,misdemeanor,0,765,0,0,0,0,0
female,african-american,28,25 - 45,9,7,0,0,high,2013-01-02,0,1,felony,38,889,0,0,0,0,0
male,caucasian,56,greater than 45,1,1,1,0,low,2013-03-20,1,7,felony,0,245,1,0,0,0,0
male,african-american,38,25 - 45,9,3,0,0,high,2013-02-19,0,15,felony,1,1137,0,0,0,0,0
male,african-american,28,25 - 45,5,4,0,0,medium,2013-10-31,0,2,misdemeanor,0,883,0,0,0,0,0
male,african-american,45,greater than 45,6,4,0,0,medium,2013-01-10,0,3,felony,0,104,0,0,0,0,0
male,hispanic,28,25 - 45,2,3,0,0,low,2013-01-04,0,0,misdemeanor,0,1183,0,0,0,0,0
male,caucasian,61,greater than 45,1,1,0,0,low,2013-03-20,0,1,felony,0,1108,0,0,0,0,0
female,caucasian,51,greater than 45,1,1,1,1,low,2014-01-13,1,0,misdemeanor,0,169,1,0,0,0,0
male,caucasian,51,greater than 45,2,2,0,0,low,2013-10-31,0,0,misdemeanor,0,883,0,0,0,0,0
male,other,36,25 - 45,1,1,1,0,low,2013-01-07,1,1,misdemeanor,0,229,0,0,0,0,0
male,african-american,48,greater than 45,1,1,0,0,low,2013-01-13,0,0,felony,0,1174,0,0,0,0,0
male,caucasian,37,25 - 45,3,4,1,0,low,2013-04-17,1,4,felony,2,516,1,0,0,0,0
female,african-american,30,25 - 45,7,4,0,0,medium,2013-05-13,0,2,felony,2,1054,0,0,0,0,0
female,african-american,41,25 - 45,6,3,0,0,medium,2013-11-05,0,5,misdemeanor,0,878,0,0,0,0,0
male,african-american,27,25 - 45,10,9,1,0,high,2013-04-24,1,11,felony,222,433,1,0,0,0,0
male,african-american,37,25 - 45,1,1,1,1,low,2013-02-17,0,0,misdemeanor,1,870,1,0,0,0,0
male,african-american,54,greater than 45,9,9,0,0,high,2013-05-07,0,11,felony,129,1060,0,0,0,0,0
male,african-american,23,less than 25,9,5,0,0,high,2013-05-09,0,2,felony,71,1058,0,0,0,0,0
male,african-american,41,25 - 45,1,1,0,0,low,2014-01-25,0,0,misdemeanor,1,797,0,0,0,0,0
male,caucasian,52,greater than 45,1,1,0,0,low,2013-05-16,0,0,felony,0,1051,0,0,0,0,0
male,caucasian,43,25 - 45,4,1,1,0,low,2013-02-20,1,13,felony,51,161,1,0,0,0,0
male,african-american,52,greater than 45,4,3,0,0,low,2014-02-04,0,0,felony,13,787,0,0,0,0,0
male,caucasian,28,25 - 45,1,2,0,0,low,2013-05-17,0,1,felony,0,1050,0,0,0,0,0
male,caucasian,28,25 - 45,5,3,0,0,medium,2013-09-27,0,1,felony,6,917,0,0,0,0,0
male,african-american,22,less than 25,4,6,0,0,low,2013-02-22,0,0,felony,0,1134,0,0,0,0,0
male,african-american,30,25 - 45,2,2,0,0,low,2013-03-05,0,4,felony,0,1123,0,0,0,0,0
male,hispanic,25,25 - 45,4,4,0,0,low,2013-11-03,0,4,felony,1,880,0,0,0,0,0
male,african-american,32,25 - 45,9,8,0,0,high,2013-12-17,0,14,felony,0,836,0,0,1,0,1
male,african-american,26,25 - 45,8,6,0,0,high,2013-09-11,0,4,misdemeanor,0,649,0,0,1,0,1
male,caucasian,53,greater than 45,1,1,0,0,low,2013-01-16,0,1,misdemeanor,0,1171,0,0,0,0,0
male,african-american,28,25 - 45,8,9,1,0,high,2013-12-10,1,25,felony,0,29,0,0,0,0,0
male,caucasian,44,25 - 45,5,3,1,0,medium,2013-04-11,1,8,misdemeanor,4,136,1,0,0,0,0
male,african-american,25,25 - 45,3,4,0,0,low,2013-09-06,0,0,felony,0,938,0,0,0,0,0
male,caucasian,22,less than 25,8,7,1,0,high,2013-01-31,1,1,misdemeanor,6,531,1,0,0,1,1
female,other,37,25 - 45,1,1,0,0,low,2013-12-09,0,0,misdemeanor,0,844,0,0,0,0,0
female,other,40,25 - 45,2,1,0,0,low,2013-10-23,0,3,felony,0,891,0,0,0,0,0
male,caucasian,36,25 - 45,7,9,1,1,medium,2014-03-11,1,8,felony,0,150,1,0,0,0,0
male,caucasian,30,25 - 45,2,2,0,0,low,2014-02-12,0,4,felony,0,779,0,0,0,0,0
male,african-american,22,less than 25,9,9,1,1,high,2014-03-18,1,3,misdemeanor,0,33,1,0,0,0,0
female,caucasian,24,less than 25,7,5,1,1,medium,2013-09-30,1,1,misdemeanor,0,394,1,0,0,0,0
female,hispanic,31,25 - 45,2,2,0,0,low,2013-03-09,0,0,misdemeanor,0,1119,0,0,0,0,0
male,hispanic,23,less than 25,6,4,1,0,medium,2013-01-31,1,1,felony,0,82,1,0,0,1,1
female,caucasian,23,less than 25,5,7,1,0,medium,2014-03-12,1,5,felony,0,607,1,0,0,4,4
male,hispanic,24,less than 25,8,7,0,0,high,2013-02-04,0,0,misdemeanor,0,1152,0,0,0,0,0
male,african-american,29,25 - 45,3,3,0,0,low,2014-04-01,0,1,misdemeanor,0,731,0,0,0,0,0
male,african-american,20,less than 25,8,7,1,1,high,2013-11-18,1,1,felony,0,104,1,0,0,0,0
male,african-american,30,25 - 45,6,5,1,0,medium,2013-02-14,1,2,felony,1,55,1,0,0,0,0
male,other,39,25 - 45,1,1,0,0,low,2013-03-12,0,0,felony,0,204,0,0,0,0,0
male,african-american,27,25 - 45,4,4,0,0,low,2013-08-07,0,4,felony,0,700,0,0,0,0,0
male,caucasian,31,25 - 45,4,3,1,0,low,2013-07-16,0,2,misdemeanor,0,812,1,0,0,0,0
female,african-american,37,25 - 45,1,1,0,0,low,2013-12-03,0,2,felony,1,294,0,0,0,0,0
male,african-american,20,less than 25,8,6,0,0,high,2014-02-19,0,0,felony,2,772,0,0,0,0,0
male,hispanic,22,less than 25,7,6,0,0,medium,2013-04-20,0,0,felony,2,66,0,0,0,1,1
female,african-american,52,greater than 45,1,1,0,0,low,2013-08-02,0,0,felony,0,973,0,0,0,0,0
female,african-american,48,greater than 45,2,3,0,0,low,2013-11-13,0,0,felony,1,870,0,0,0,0,0
male,african-american,66,greater than 45,6,1,1,0,medium,2013-07-26,1,8,felony,0,571,1,0,0,0,0
male,caucasian,25,25 - 45,5,4,0,0,medium,2013-04-20,0,0,felony,0,355,0,0,0,0,0
male,caucasian,27,25 - 45,6,7,1,1,medium,2013-04-08,1,0,felony,1,220,1,0,0,0,0
male,african-american,22,less than 25,10,7,1,0,high,2013-01-11,1,3,misdemeanor,0,4,1,0,1,1,2
female,caucasian,22,less than 25,3,4,0,0,low,2013-12-31,0,1,felony,0,822,0,0,0,0,0
male,african-american,35,25 - 45,10,8,0,0,high,2014-01-24,0,2,felony,0,798,0,0,0,0,0
male,caucasian,32,25 - 45,4,4,0,0,low,2013-09-06,0,2,felony,0,938,0,0,0,0,0
female,african-american,41,25 - 45,3,1,0,0,low,2013-08-05,0,2,misdemeanor,0,970,0,0,0,0,0
female,other,25,25 - 45,2,3,0,0,low,2014-01-29,0,0,felony,0,793,0,0,0,0,0
male,african-american,44,25 - 45,7,3,0,0,medium,2013-04-11,0,24,misdemeanor,0,53,0,0,0,0,0
male,african-american,52,greater than 45,6,2,1,0,medium,2013-12-10,1,3,felony,25,43,1,0,0,0,0
male,african-american,43,25 - 45,1,1,0,0,low,2013-04-05,0,0,felony,40,1092,0,0,0,0,0
male,caucasian,37,25 - 45,1,1,0,0,low,2014-03-05,0,3,felony,0,758,0,0,0,0,0
male,caucasian,70,greater than 45,1,1,0,0,low,2013-04-18,0,1,misdemeanor,0,1079,0,0,0,0,0
male,caucasian,46,greater than 45,4,2,0,0,low,2013-05-01,0,3,felony,13,1066,0,0,0,0,0
male,african-american,21,less than 25,9,7,1,0,high,2013-03-04,1,0,misdemeanor,0,278,1,0,0,0,0
male,hispanic,38,25 - 45,1,1,1,0,low,2013-06-10,1,3,felony,0,23,1,0,0,0,0
male,caucasian,34,25 - 45,4,4,0,0,low,2014-01-20,0,5,misdemeanor,0,802,0,0,0,0,0
male,african-american,34,25 - 45,4,4,0,0,low,2013-12-04,0,5,misdemeanor,0,849,0,0,0,0,0
male,caucasian,23,less than 25,5,5,1,0,medium,2014-02-27,1,0,felony,1,373,1,0,0,0,0
male,african-american,34,25 - 45,4,2,1,0,low,2013-01-31,1,5,felony,2,171,1,0,0,0,0
male,african-american,30,25 - 45,1,2,0,0,low,2013-10-25,0,2,felony,0,889,0,0,0,0,0
