sex,race,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,total_priors_count,c_charge_degree,c_charge_desc,start,end,event,juv_fel_count,juv_misd_count,juv_other_count,c_charge_desc,person_id,agency_text,maritalstatus,language,rawscore,age,juv_priors_count,adult_priors_count
male,hispanic,46-65,1,1,0,0,low,2013-09-16,0,2,felony,fel drive license perm revoke,0,67,0,0,0,0,fel drive license perm revoke,57320.0,pretrial,divorced,english,-4.21,64,0,2
male,caucasian,46-65,1,1,0,0,low,2013-04-27,0,0,misdemeanor,battery,42,1070,0,0,0,0,battery,54314.0,pretrial,single,english,-3.98,64,0,0
male,caucasian,46-65,1,1,0,0,low,2013-08-16,0,0,misdemeanor,battery,0,959,0,0,0,0,battery,56488.0,pretrial,single,english,-4.5,64,0,0
male,hispanic,46-65,1,1,0,0,low,2013-02-25,0,0,felony,solicitation on felony 3 deg,0,1131,0,0,0,0,solicitation on felony 3 deg,52507.0,pretrial,divorced,english,-4.02,63,0,0
male,african-american,46-65,4,2,0,0,low,2014-03-02,0,8,felony,crimin mischief damage $1000+,1,761,0,0,0,0,crimin mischief damage $1000+,61624.0,pretrial,single,english,-2.91,64,0,8
male,african-american,46-65,2,1,1,0,low,2013-06-18,1,5,misdemeanor,battery,0,57,0,0,0,0,battery,7114.0,pretrial,single,english,-3.21,64,0,5
male,caucasian,46-65,1,1,0,0,low,2013-11-06,0,3,felony,flee/elude leo-agg flee unsafe,0,877,0,0,0,0,flee/elude leo-agg flee unsafe,58788.0,probation,single,english,-3.95,64,0,3
male,caucasian,46-65,1,1,0,0,low,2014-02-01,0,0,felony,grand theft in the 3rd degree,0,790,0,0,0,0,grand theft in the 3rd degree,60889.0,pretrial,single,english,-4.15,64,0,0
male,african-american,46-65,6,1,1,0,medium,2013-07-26,1,8,felony,deliver cocaine,0,571,1,0,0,0,deliver cocaine,55961.0,pretrial,divorced,english,-3.61,64,0,8
female,caucasian,46-65,1,1,0,0,low,2013-04-29,0,1,misdemeanor,tresspass struct/conveyance,0,1068,0,0,0,0,tresspass struct/conveyance,52983.0,pretrial,single,english,-3.95,63,0,1
male,caucasian,46-65,1,1,0,0,low,2013-02-23,0,0,misdemeanor,battery,0,1133,0,0,0,0,battery,52461.0,pretrial,married,english,-4.49,63,0,0
male,african-american,46-65,2,1,1,0,low,2013-02-22,1,5,felony,possession of cocaine,0,318,1,0,0,0,possession of cocaine,52425.0,pretrial,separated,english,-3.72,63,0,5
male,caucasian,46-65,1,2,0,0,low,2013-02-27,0,1,felony,arrest case no charge,0,331,0,0,0,0,arrest case no charge,33083.0,pretrial,single,english,-2.76,63,0,1
male,african-american,46-65,1,1,1,1,low,2013-06-11,0,3,felony,agg battery grt/bod/harm,0,943,1,0,0,0,agg battery grt/bod/harm,55233.0,pretrial,married,english,-2.98,63,0,3
male,african-american,46-65,6,2,1,0,medium,2013-12-21,1,33,felony,crimin mischief damage $1000+,14,383,1,0,0,0,crimin mischief damage $1000+,41026.0,pretrial,single,english,-2.7,64,0,33
male,other,46-65,1,1,0,0,low,2014-03-06,0,0,misdemeanor,fleeing or attmp eluding a leo,0,757,0,0,0,0,fleeing or attmp eluding a leo,61760.0,pretrial,married,english,-4.42,64,0,0
female,african-american,46-65,8,2,1,0,high,2013-12-14,1,11,felony,poss wep conv felon,5,490,1,0,0,0,poss wep conv felon,59668.0,pretrial,single,english,-2.63,64,0,11
male,caucasian,46-65,1,1,1,0,low,2013-08-14,1,0,misdemeanor,battery,1,717,1,0,0,0,battery,56430.0,pretrial,single,english,-4.01,63,0,0
male,african-american,46-65,1,1,0,0,low,2013-02-26,0,3,felony,possession of cocaine,0,101,0,0,0,0,possession of cocaine,52530.0,probation,separated,english,-3.93,63,0,3
male,caucasian,46-65,1,1,0,0,low,2013-08-19,0,0,misdemeanor,battery,1,956,0,0,0,0,battery,56541.0,pretrial,married,english,-4.29,63,0,0
male,caucasian,46-65,1,1,0,0,low,2013-04-07,0,0,misdemeanor,battery,0,1090,0,0,0,0,battery,53712.0,pretrial,divorced,english,-4.47,63,0,0
male,caucasian,46-65,1,1,0,0,low,2013-09-20,0,1,felony,arrest case no charge,0,924,0,0,0,0,arrest case no charge,57417.0,pretrial,single,english,-4.13,63,0,1
male,caucasian,46-65,1,1,0,0,low,2013-01-13,0,1,misdemeanor,arrest case no charge,18,1174,0,0,0,0,arrest case no charge,51154.0,pretrial,single,english,-4.15,62,0,1
male,caucasian,46-65,3,1,0,0,low,2013-04-04,0,2,misdemeanor,viol injunct domestic violence,56,1093,0,0,0,0,viol injunct domestic violence,53649.0,pretrial,widowed,english,-3.0,63,0,2
male,caucasian,46-65,3,1,0,0,low,2013-02-20,0,4,misdemeanor,battery,0,1136,0,0,0,0,battery,52369.0,pretrial,married,english,-3.83,62,0,4
male,caucasian,46-65,6,1,0,0,medium,2013-01-18,0,3,felony,arrest case no charge,0,1169,0,0,0,0,arrest case no charge,51336.0,pretrial,single,english,-3.09,62,0,3
male,caucasian,46-65,1,1,0,0,low,2013-07-15,0,2,misdemeanor,resist/obstruct w/o violence,0,991,0,0,0,0,resist/obstruct w/o violence,54342.0,pretrial,divorced,english,-3.73,63,0,2
female,caucasian,46-65,1,1,0,0,low,2013-05-07,0,0,misdemeanor,dui property damage/injury,1,1060,0,0,0,0,dui property damage/injury,54581.0,pretrial,separated,english,-4.24,62,0,0
male,african-american,46-65,10,4,0,0,high,2013-04-03,0,11,felony,possession of cocaine,0,1094,0,0,0,0,possession of cocaine,53627.0,pretrial,single,english,-2.18,62,0,11
male,african-american,46-65,5,1,0,0,medium,2013-10-24,0,7,misdemeanor,possess cannabis/20 grams or less,0,607,0,0,0,0,possess cannabis/20 grams or less,58349.0,pretrial,single,english,-3.74,62,0,7
female,caucasian,46-65,1,1,1,0,low,2014-01-06,1,1,misdemeanor,lve/scen/acc/veh/prop/damage,0,169,1,0,0,0,lve/scen/acc/veh/prop/damage,60161.0,pretrial,divorced,english,-3.65,63,0,1
female,caucasian,46-65,1,1,0,0,low,2013-12-24,0,1,felony,introduce contraband into jail,0,829,0,0,0,0,introduce contraband into jail,59960.0,pretrial,divorced,english,-3.37,63,0,1
male,caucasian,46-65,4,1,0,0,low,2013-10-01,0,6,felony,arrest case no charge,0,773,0,0,0,0,arrest case no charge,57590.0,pretrial,single,english,-3.57,62,0,6
female,caucasian,46-65,1,1,0,0,low,2013-10-07,0,1,felony,aggravated assault w/dead weap,0,907,0,0,0,0,aggravated assault w/dead weap,57901.0,pretrial,married,english,-4.39,62,0,1
female,caucasian,46-65,1,1,0,0,low,2013-04-25,0,0,felony,fraudulent use of credit card,0,1072,0,0,0,0,fraudulent use of credit card,54234.0,pretrial,widowed,english,-4.06,62,0,0
female,african-american,46-65,1,1,0,0,low,2014-02-24,0,0,felony,grand theft in the 3rd degree,0,767,0,0,0,0,grand theft in the 3rd degree,61442.0,pretrial,married,english,-3.66,63,0,0
male,caucasian,46-65,1,1,0,0,low,2013-02-22,0,0,misdemeanor,dui property damage/injury,1,21,0,0,0,0,dui property damage/injury,52439.0,pretrial,single,english,-4.4,61,0,0
male,caucasian,46-65,2,2,0,0,low,2013-08-05,0,3,felony,burglary unoccupied dwelling,22,52,0,0,0,0,burglary unoccupied dwelling,56153.0,pretrial,divorced,english,-2.66,62,0,3
male,caucasian,46-65,1,1,0,0,low,2013-04-04,0,8,felony,driving while license revoked,0,1093,0,0,0,0,driving while license revoked,53629.0,pretrial,widowed,english,-4.15,61,0,8
male,hispanic,46-65,1,1,0,0,low,2013-08-13,0,1,felony,aggravated assault,0,962,0,0,0,0,aggravated assault,56410.0,pretrial,married,english,-4.09,62,0,1
female,other,46-65,1,1,0,0,low,2013-10-22,0,0,felony,grand theft (motor vehicle),0,892,0,0,0,0,grand theft (motor vehicle),58290.0,pretrial,divorced,english,-4.13,62,0,0
male,african-american,46-65,2,1,0,0,low,2013-10-07,0,0,misdemeanor,battery,0,907,0,0,0,0,battery,57897.0,pretrial,married,english,-3.7,62,0,0
female,caucasian,46-65,1,1,0,0,low,2013-10-10,0,1,felony,arrest case no charge,0,904,0,0,0,0,arrest case no charge,58000.0,pretrial,single,english,-3.93,62,0,1
male,caucasian,46-65,3,2,0,0,low,2013-01-12,0,0,felony,sex offender fail comply w/law,307,1175,0,0,0,0,sex offender fail comply w/law,51121.0,pretrial,single,english,-2.74,61,0,0
male,african-american,46-65,6,2,0,0,medium,2013-09-17,0,13,misdemeanor,possession of cocaine,0,927,0,0,0,0,possession of cocaine,11694.0,pretrial,single,english,-2.67,62,0,13
female,caucasian,46-65,3,1,0,0,low,2013-09-06,0,7,misdemeanor,expired dl more than 6 months,0,123,0,0,0,0,expired dl more than 6 months,49669.0,probation,single,english,-3.59,61,0,7
male,african-american,46-65,7,1,0,0,medium,2013-12-26,0,20,felony,driving while license revoked,1,827,0,0,0,0,driving while license revoked,59977.0,pretrial,married,english,-3.16,62,0,20
male,hispanic,46-65,1,1,0,0,low,2013-06-03,0,1,misdemeanor,disorderly intoxication,0,1033,0,0,0,0,disorderly intoxication,55216.0,pretrial,single,spanish,-4.0,61,0,1
female,african-american,46-65,1,1,0,0,low,2013-04-27,0,0,felony,solicit deliver cocaine,3,1070,0,0,0,0,solicit deliver cocaine,54305.0,pretrial,divorced,english,-4.04,61,0,0
male,african-american,46-65,4,1,0,0,low,2013-08-17,0,0,felony,grand theft in the 3rd degree,3,958,0,0,0,0,grand theft in the 3rd degree,56518.0,pretrial,single,english,-3.25,61,0,0
female,caucasian,46-65,1,1,0,0,low,2013-08-20,0,0,misdemeanor,battery,0,955,0,0,0,0,battery,56573.0,pretrial,married,english,-3.98,61,0,0
female,caucasian,46-65,1,1,0,0,low,2014-03-31,0,2,misdemeanor,resist/obstruct w/o violence,0,732,0,0,0,0,resist/obstruct w/o violence,62395.0,pretrial,married,english,-4.36,62,0,2
male,caucasian,46-65,1,1,0,0,low,2013-10-30,0,0,misdemeanor,operating w/o valid license,0,884,0,0,0,0,operating w/o valid license,58549.0,pretrial,divorced,english,-4.4,61,0,0
male,african-american,46-65,9,1,0,0,high,2013-03-12,0,3,misdemeanor,trespass structure/conveyance,219,1116,0,0,0,0,trespass structure/conveyance,52894.0,pretrial,single,english,-3.1,60,0,3
male,caucasian,46-65,1,1,0,0,low,2014-01-31,0,1,misdemeanor,dui property damage/injury,0,791,0,0,0,0,dui property damage/injury,60877.0,pretrial,single,english,-4.08,61,0,1
male,african-american,46-65,6,1,1,0,medium,2014-03-04,1,9,felony,burglary structure unoccup,2,59,1,0,0,0,burglary structure unoccup,61688.0,pretrial,single,english,-3.15,61,0,9
male,caucasian,46-65,1,1,0,0,low,2013-10-22,0,1,felony,arrest case no charge,0,892,0,0,0,0,arrest case no charge,58311.0,pretrial,divorced,english,-3.6,61,0,1
female,caucasian,46-65,1,1,0,0,low,2013-02-23,0,0,misdemeanor,battery,0,1133,0,0,0,0,battery,52471.0,pretrial,married,english,-4.1,60,0,0
female,hispanic,46-65,1,1,0,0,low,2014-01-22,0,1,felony,arrest case no charge,0,800,0,0,0,0,arrest case no charge,60602.0,pretrial,widowed,english,-4.23,61,0,1
male,african-american,46-65,6,2,0,0,medium,2013-06-13,0,1,felony,felony battery (dom strang),0,1023,0,0,0,0,felony battery (dom strang),55379.0,probation,single,english,-2.84,60,0,1
male,african-american,46-65,3,2,0,0,low,2013-04-22,0,6,felony,arrest case no charge,24,1075,0,0,0,0,arrest case no charge,54139.0,pretrial,widowed,english,-2.86,60,0,6
male,african-american,46-65,1,1,0,0,low,2014-03-29,0,2,misdemeanor,viol injunct domestic violence,1,734,0,0,0,0,viol injunct domestic violence,46131.0,pretrial,single,english,-3.43,61,0,2
male,african-american,46-65,1,1,0,0,low,2013-10-24,0,0,misdemeanor,dui level 0.15 or minor in veh,0,890,0,0,0,0,dui level 0.15 or minor in veh,58343.0,pretrial,single,english,-4.19,61,0,0
male,african-american,46-65,9,5,0,0,high,2013-09-16,0,16,misdemeanor,battery,0,928,0,0,0,0,battery,57304.0,pretrial,separated,english,-1.97,60,0,16
male,african-american,46-65,1,1,0,0,low,2014-02-09,0,1,felony,arrest case no charge,1,782,0,0,0,0,arrest case no charge,61107.0,pretrial,single,english,-3.6,61,0,1
male,african-american,46-65,9,5,1,0,high,2013-02-15,1,22,misdemeanor,trespass struct/convey occupy,0,272,1,0,0,0,trespass struct/convey occupy,27125.0,pretrial,single,english,-1.79,60,0,22
male,other,46-65,4,2,1,0,low,2014-03-30,1,23,felony,felony petit theft,1,123,0,0,0,0,felony petit theft,62371.0,pretrial,separated,english,-2.89,61,0,23
male,caucasian,46-65,1,1,0,0,low,2013-02-12,0,0,misdemeanor,dui property damage/injury,0,1144,0,0,0,0,dui property damage/injury,52120.0,pretrial,divorced,english,-4.16,60,0,0
male,caucasian,46-65,1,1,0,0,low,2013-02-20,0,1,misdemeanor,battery,0,1136,0,0,0,0,battery,40381.0,pretrial,divorced,english,-3.83,60,0,1
male,caucasian,46-65,1,1,0,0,low,2013-05-26,0,0,felony,criminal mischief,0,1041,0,0,0,0,criminal mischief,55092.0,pretrial,single,english,-4.2,60,0,0
male,caucasian,46-65,1,1,1,0,low,2013-11-10,1,0,misdemeanor,battery,3,150,1,0,0,0,battery,58873.0,pretrial,married,english,-4.18,60,0,0
female,african-american,46-65,4,1,0,0,low,2013-11-25,0,1,felony,exploit elderly person 20-100k,0,858,0,0,0,0,exploit elderly person 20-100k,59241.0,drrd,divorced,english,-4.0,60,0,1
male,hispanic,46-65,1,1,0,0,low,2014-02-05,0,1,felony,arrest case no charge,0,786,0,0,0,0,arrest case no charge,60994.0,pretrial,single,spanish,-3.8,61,0,1
male,caucasian,46-65,4,1,1,1,low,2013-10-03,1,10,felony,corrupt public servant,2,70,0,0,0,0,corrupt public servant,57837.0,pretrial,single,english,-3.11,60,0,10
male,caucasian,46-65,1,1,0,0,low,2013-12-12,0,2,felony,felony dui (level 3),0,195,0,0,0,0,felony dui (level 3),59617.0,pretrial,divorced,english,-4.05,60,0,2
male,caucasian,46-65,1,1,0,0,low,2013-03-02,0,5,misdemeanor,prostitution,3,56,0,0,0,0,prostitution,7258.0,pretrial,single,english,-3.41,59,0,5
male,african-american,46-65,7,5,1,0,medium,2013-06-10,1,10,misdemeanor,possess drug paraphernalia,0,44,1,0,0,0,possess drug paraphernalia,3001.0,pretrial,single,english,-1.91,60,0,10
