two_year_recid,sex,age,priors_count,juv_priors_count,c_charge_degree,maritalstatus_other,maritalstatus_separated,maritalstatus_significant other,race_african-american,race_hispanic,race_other
0,1,69,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0
1,0,69,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,69,3,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,69,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,69,5,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,69,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,1,69,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,69,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,69,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,69,3,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,69,22,0,1,0.0,1.0,0.0,1.0,0.0,0.0
0,0,69,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0
0,0,69,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0
0,0,69,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,68,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,68,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,68,5,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,68,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
0,0,68,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,68,6,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,68,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0
1,0,68,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,68,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,4,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,67,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,67,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,67,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0
1,0,67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
0,1,67,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,67,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,67,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
0,0,67,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,3,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,67,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,67,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,67,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,67,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,67,8,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,66,5,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,66,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,66,8,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,66,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
1,0,66,5,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,66,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,3,0,0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,66,33,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,66,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0
1,1,66,11,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,66,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,3,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,66,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,66,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,66,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,66,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0
0,0,65,4,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,65,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,65,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,1,65,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,65,11,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,65,7,0,1,0.0,0.0,0.0,1.0,0.0,0.0
1,1,65,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,1,65,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,65,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,65,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,65,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,65,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,65,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,65,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,64,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,64,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,64,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,64,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,1,64,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,64,13,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,1,64,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,64,20,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,64,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0
0,1,64,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,64,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,64,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,64,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,64,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,63,3,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,63,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,63,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,63,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,63,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63,6,0,0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,63,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,63,16,0,1,0.0,1.0,0.0,1.0,0.0,0.0
0,0,63,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,63,22,0,1,0.0,0.0,0.0,1.0,0.0,0.0
1,0,63,23,0,0,0.0,1.0,0.0,0.0,0.0,1.0
0,0,63,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,63,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,63,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,63,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,63,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,63,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,63,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,63,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,63,10,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,1,63,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,62,15,0,0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,62,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,4,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,62,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0
0,0,62,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,1,62,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
1,1,62,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,62,5,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,62,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,62,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,62,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0
0,0,62,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,62,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,62,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0
0,0,62,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,8,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,62,3,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,62,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,61,25,0,0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,61,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,61,20,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,11,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,61,15,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,61,29,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,61,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,61,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,61,13,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,8,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,5,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,61,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,61,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,61,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
1,1,61,8,0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,61,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,61,4,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,61,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,61,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,61,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,61,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,61,14,0,1,0.0,1.0,0.0,1.0,0.0,0.0
0,0,61,12,0,0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,61,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,30,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,61,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,61,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,61,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,61,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,61,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0
1,0,61,8,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,61,15,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,61,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,61,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,61,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,1,61,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,60,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,60,3,0,1,0.0,0.0,1.0,0.0,0.0,0.0
1,0,60,15,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,60,2,0,0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,60,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0
0,0,60,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,60,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,60,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,60,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0
0,0,60,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0
0,0,60,10,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,60,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,60,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,60,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,12,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,60,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,13,0,0,0.0,0.0,1.0,1.0,0.0,0.0
1,1,60,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,60,13,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,60,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,60,3,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,60,4,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,60,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,60,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,60,19,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,59,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,59,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0
0,0,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,59,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,59,1,0,1,0.0,0.0,1.0,0.0,0.0,1.0
0,0,59,5,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,3,0,0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,59,20,0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,59,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,59,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,59,5,0,1,0.0,1.0,0.0,1.0,0.0,0.0
0,0,59,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0
1,0,59,8,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,8,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,59,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0
1,0,59,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,59,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,59,22,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,59,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,59,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,59,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,59,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
1,0,59,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,59,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,59,17,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,3,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,59,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,59,13,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,59,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,59,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,59,4,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,59,4,0,1,0.0,0.0,1.0,1.0,0.0,0.0
1,0,59,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,59,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,59,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,59,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,1,59,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,17,0,0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,59,15,0,1,0.0,0.0,1.0,1.0,0.0,0.0
1,0,59,4,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,59,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0
1,0,59,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,58,21,0,1,0.0,0.0,0.0,1.0,0.0,0.0
1,0,58,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,58,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,58,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,58,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0
1,0,58,24,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,58,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,58,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0
0,0,58,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,58,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,58,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,58,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,58,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,16,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,58,3,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,58,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,58,10,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,58,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,6,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,58,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,58,8,0,1,0.0,1.0,0.0,0.0,0.0,0.0
1,0,58,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
1,0,58,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,58,10,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,58,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,58,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0
0,0,58,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,58,4,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,58,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,58,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,58,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,58,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,58,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,58,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,58,3,0,1,0.0,0.0,0.0,1.0,0.0,0.0
1,0,58,12,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,58,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,58,12,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,57,3,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,57,8,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,57,2,0,0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,57,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,57,12,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,57,12,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,12,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,57,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0
0,0,57,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,1,57,4,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,57,2,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,57,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1,0,57,8,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,57,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,57,19,0,0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,57,23,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,9,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,57,19,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,57,10,0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,57,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
1,0,57,21,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,57,2,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,19,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,57,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,57,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,57,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0
0,0,57,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,57,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,57,18,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,11,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,57,3,0,0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,57,6,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,57,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
